C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
61  ;HIP 14110                          HD 18885                           ;*  ;03 01 56.1190857192 -09 57 41.053013964;03 01 56.1203730471 -09 57 41.060823607;02 59 30.6334638999 -10 09 27.385828589;190.0326039765906 -54.8001929764268;  43.464 -4.480     ;9.6272    ;v    14.413   ;14.413      ;0.000048    ;14.41       ;     ~   ;6.939    ;5.837    ;     ~   ;     ~   ;K1III                ;  47 ;   0
62  ;HIP 64587                          HD 114533                          ;*  ;13 14 17.3297199240 -78 26 50.836156224;13 14 17.3383441815 -78 26 50.838444175;13 10 03.6494243639 -78 10 57.326179412;304.1180318526983 -15.6283658454546;  -9.435 -4.222     ;1.5528    ;v   -16.05    ;-16.05      ;-0.000054   ;-16.05      ;     ~   ;6.882    ;5.839    ;     ~   ;     ~   ;G2Ib                 ;  26 ;   0
63  ;HD 59499                                                              ;*  ;07 28 51.153 -31 50 54.22              ;07 28 51.154 -31 50 54.24              ;07 26 55.871 -31 44 39.55              ;245.364451 -06.761674              ;       -9.4 6.7     ;      ~   ;v     2.0     ;2.0         ;0.000007    ;2.00        ;     ~   ;6.20     ;6.37     ;     ~   ;     ~   ;B2.5V                ;  25 ;   0
64  ;HIP 20186                          * 56 Tau                           ;a2*;04 19 36.7048893816 +21 46 24.566827836;04 19 36.7068602602 +21 46 24.552666374;04 16 38.8399669057 +21 39 15.694419611;174.0438029821895 -19.8284232783436; 28.558 -41.394     ;11.4023   ;v    12.4     ;12.4        ;0.000041    ;12.40       ;     ~   ;5.231    ;5.346    ;     ~   ;     ~   ;A0VpSi               ; 185 ;   0
65  ;HIP 45856                          * k Car                            ;*  ;09 20 56.8130707392 -62 24 16.681055508;09 20 56.8158061010 -62 24 16.700779000;09 19 44.8438376080 -62 11 27.758055746;281.0596449622544 -08.8496643929711; -13.780 -0.181     ;14.5169   ;v    51.12    ;51.12       ;0.000171    ;51.12       ;     ~   ;5.733    ;4.800    ;     ~   ;     ~   ;G6III                ;  45 ;   0
66  ;HIP 77858                          HD 142165                          ;SB*;15 53 53.9142283800 -24 31 59.373289920;15 53 53.9163076910 -24 31 59.361085152;15 50 54.3842195802 -24 23 08.415941437;347.5139308021271 +22.1473266047079;-13.584 -25.043     ;7.2782    ;v     2.1     ;2.1         ;0.000007    ;2.10        ;4.95     ;5.350    ;5.372    ;     ~   ;     ~   ;B5V                  ; 130 ;   0
67  ;HD 157661B                                                            ;*  ;17 26 51.7873836816 -45 50 35.561708448;17 26 51.7897254815 -45 50 35.543327254;17 23 10.0495924037 -45 48 01.527681995;343.7178888788100 -05.9410280143625; -2.803 -31.020     ;5.2458    ;~            ~;~           ;~           ;~           ;     ~   ;6.41     ;6.47     ;     ~   ;     ~   ;B9V                  ;   3 ;   0
68  ;HIP 24822                          * n Tau                            ;PM*;05 19 16.6061769240 +22 05 47.421418380;05 19 16.6080412132 +22 05 47.403440178;05 16 16.1948566249 +22 02 47.555072633;182.5370237421367 -08.6971623342168; 11.173 -75.077     ;14.0108   ;v    17.97    ;17.97       ;0.000060    ;17.97       ;     ~   ;5.894    ;4.948    ;     ~   ;     ~   ;G8III                ; 110 ;   0
69  ;HIP 61658                          V* FW Vir                          ;LP*;12 38 22.4057053224 +01 51 16.779667860;12 38 22.4071863569 +01 51 16.774011546;12 35 49.2901691390 +02 07 46.763177440;295.3218192745786 +64.5331959756279;-80.374 -17.452     ;5.6444    ;v   -15.60    ;-15.60      ;-0.000052   ;-15.60      ;9.13     ;7.31     ;5.71     ;4.15     ;2.73     ;M3+IIICa0.5          ;  69 ;   0
70  ;HIP 64774                          HD 115612                          ;*  ;13 16 28.6354976256 +68 24 28.793726352;13 16 28.6333549795 +68 24 28.791646296;13 14 50.0766356651 +68 40 15.832425282;119.4567321706912 +48.5509501346397; -12.797 15.580     ;7.3302    ;v    -7.40    ;-7.40       ;-0.000025   ;-7.40       ;     ~   ;6.134    ;6.189    ;     ~   ;6.23     ;B8V                  ;  39 ;   0
71  ;HIP 65951                          HD 117710                          ;PM*;13 31 15.7663471680 +42 06 22.152472848;13 31 15.7665560465 +42 06 22.151801445;13 29 05.6899483729 +42 21 46.188434788;096.9786150063961 +72.9563598454639; -96.127 27.590     ;13.1045   ;v   -21.655800;-21.655800  ;-0.000072   ;-21.66      ;     ~   ;7.158    ;6.065    ;     ~   ;     ~   ;K2III                ;  41 ;   0
72  ;HIP 12273                          HD 15920                           ;*  ;02 38 02.0331728856 +72 49 05.710593144;02 38 02.0392581172 +72 49 05.704953839;02 33 13.8094002584 +72 36 05.287254959;130.7047820717191 +11.5753717713088; -28.072 15.628     ;12.1338   ;v    -3.225720;-3.225720   ;-0.000011   ;-3.23       ;     ~   ;6.063    ;5.166    ;     ~   ;     ~   ;G8III                ;  76 ;   0
73  ;HIP 107750                         HD 207503                          ;*  ;21 49 41.0151629952 -12 43 22.370511828;21 49 41.0165110148 -12 43 22.352128301;21 46 58.9842671971 -12 57 24.840461309;042.4146656813506 -45.2000897788583;  -6.057 20.882     ;7.9444    ;v     0.00    ;0.00        ;0.000000    ;0.00        ;     ~   ;6.522    ;6.298    ;     ~   ;     ~   ;A1/2III              ;  37 ;   0
74  ;HIP 8233                           HD 10863                           ;PM*;01 46 01.0580461824 -27 20 55.792093776;01 46 01.0588187608 -27 20 55.792830894;01 43 42.2899025289 -27 35 52.894115365;217.1029588096263 -77.8722128409845; 96.509 -45.039     ;22.2759   ;v     5.00    ;5.00        ;0.000017    ;5.00        ;     ~   ;6.729    ;6.385    ;     ~   ;     ~   ;F2V                  ;  44 ;   0
75  ;HIP 93523                          HD 177199                          ;*  ;19 02 52.6209694584 +19 39 39.642779124;19 02 52.6224158962 +19 39 39.664400287;19 00 41.7782282566 +19 35 12.756423057;051.7691793305479 +06.4077551322093;   6.528 -1.114     ;3.5144    ;v    -7.39    ;-7.39       ;-0.000025   ;-7.39       ;     ~   ;7.437    ;6.094    ;     ~   ;     ~   ;K1III                ;  21 ;   0
76  ;HIP 69713                          * iot Boo                          ;dS*;14 16 09.9297628080 +51 22 02.028703692;14 16 09.9294890745 +51 22 02.032302977;14 14 23.6771259300 +51 35 49.963760798;095.2371717564733 +60.9623200406661;-149.277 89.135     ;33.8856   ;v   -18.7     ;-18.7       ;-0.000062   ;-18.70      ;5.01     ;4.95     ;4.75     ;4.60     ;4.51     ;A7V                  ; 162 ;   0
77  ;HIP 89104                          HD 167387                          ;*  ;18 11 07.1546458656 +60 24 34.317671508;18 11 07.1552187528 +60 24 34.337989422;18 10 30.8973905246 +60 23 46.768224212;089.4310097135111 +28.2570843606052;   -6.659 4.391     ;6.3472    ;v   -18.00    ;-18.00      ;-0.000060   ;-18.00      ;6.440    ;6.490    ;6.500    ;     ~   ;     ~   ;A1Vnn                ;  33 ;   0
78  ;HIP 78918                          * tet Lup                          ;*  ;16 06 35.5439828160 -36 48 08.173906632;16 06 35.5463802707 -36 48 08.160715142;16 03 18.1249514278 -36 40 04.163506898;340.8342377252362 +11.3231520597673;-18.145 -32.242     ;7.3685    ;v    15.2     ;15.2        ;0.000051    ;15.20       ;3.36     ;4.027    ;4.201    ;     ~   ;     ~   ;B2.5Vn               ; 115 ;   0
79  ;HIP 5518                           * 31 Cas                           ;*  ;01 10 39.3224064744 +68 46 43.041646164;01 10 39.3276626972 +68 46 43.044278829;01 07 14.6072516502 +68 30 47.439829106;124.6786850068896 +05.9720773032025; 35.202 -26.792     ;10.6799   ;v     4.70    ;4.70        ;0.000016    ;4.70        ;     ~   ;5.280    ;5.309    ;     ~   ;     ~   ;A0Vnn                ;  52 ;   0
80  ;HIP 69458                          HD 124281                          ;*  ;14 13 13.2571427208 -26 36 44.316326808;14 13 13.2593918204 -26 36 44.313005121;14 10 21.3223376145 -26 22 42.210630164;324.7362971008759 +32.7732654160199; 14.140 -18.291     ;5.6955    ;v    -3.64    ;-3.64       ;-0.000012   ;-3.64       ;     ~   ;7.289    ;6.236    ;     ~   ;     ~   ;K0III                ;  15 ;   0
81  ;HIP 5268                           * iot Tuc                          ;Er*;01 07 18.6643221624 -61 46 31.038310848;01 07 18.6631558001 -61 46 31.035361481;01 05 20.1039625624 -62 02 31.374785938;299.6401090839492 -55.2513950953930; 74.337 -11.324     ;10.6658   ;v    -7.8     ;-7.8        ;-0.000026   ;-7.80       ;     ~   ;6.211    ;5.342    ;     ~   ;     ~   ;G5III                ;  58 ;   0
82  ;HIP 58057                          HD 103437                          ;** ;11 54 25.7898479349 -37 44 56.107697528;11 54 25.7923900584 -37 44 56.117278448;11 51 54.8589878289 -37 28 16.595641448;290.6520395059322 +23.7596870327053;-305.930 49.527     ;20.0093   ;v   -11.90    ;-11.90      ;-0.000040   ;-11.90      ;     ~   ;6.98     ;6.46     ;     ~   ;     ~   ;F7V                  ;  54 ;   0
83  ;HIP 57079                          HD 101695                          ;PM*;11 42 03.5281173672 -20 17 39.006878352;11 42 03.5301155826 -20 17 39.017506726;11 39 31.8596932510 -20 00 57.472137158;281.6248807240205 +39.6897821382203; -8.644 -54.312     ;13.2265   ;v   -12.81    ;-12.81      ;-0.000043   ;-12.81      ;     ~   ;7.164    ;6.200    ;     ~   ;     ~   ;G8IV                 ;  19 ;   0
84  ;HIP 73223                          * R Aps                            ;PM*;14 57 52.9835186424 -76 39 45.556897968;14 57 52.9908312332 -76 39 45.549450944;14 52 06.7921491888 -76 27 40.450582787;310.1436091652017 -15.5953636916466;-69.161 -16.583     ;7.8879    ;v   -31.20    ;-31.20      ;-0.000104   ;-31.20      ;     ~   ;6.811    ;5.359    ;     ~   ;     ~   ;K4III:               ;  32 ;   0
85  ;HIP 15770                          HD 20809                           ;*  ;03 23 13.1970566400 +49 12 47.774817972;03 23 13.2001000084 +49 12 47.765146331;03 19 39.8962125777 +49 02 09.794129415;146.7784519234865 -06.5014164009266; 22.060 -24.959     ;5.6817    ;v    -0.50    ;-0.50       ;-0.000002   ;-0.50       ;     ~   ;5.23     ;5.30     ;     ~   ;     ~   ;B5V                  ; 137 ;   0
86  ;HIP 7943                           HD 10390                           ;PM*;01 42 03.4896429408 +35 14 44.538913968;01 42 03.4922002805 +35 14 44.538554768;01 39 09.5654268014 +34 59 38.744436478;134.4635054696398 -26.4899885527993; 48.763 -25.418     ;11.1882   ;v    -1.9     ;-1.9        ;-0.000006   ;-1.90       ;5.37     ;5.57     ;5.64     ;     ~   ;5.67     ;B9IV-V               ;  74 ;   0
87  ;HIP 108296                         HD 208527                          ;*  ;21 56 23.9843401776 +21 14 23.491655412;21 56 23.9861882072 +21 14 23.509683286;21 54 03.5715664329 +21 00 05.472779151;077.2452086683651 -25.7177688439945;   1.433 14.675     ;3.0302    ;v     4.929770;4.929770    ;0.000016    ;4.93        ;10.090   ;8.060    ;6.370    ;     ~   ;     ~   ;K5V                  ;  67 ;   1
88  ;HIP 47592                          HD 84117                           ;PM*;09 42 14.4162029298 -23 54 56.042043626;09 42 14.4180626525 -23 54 56.060802857;09 39 58.9210008706 -23 41 25.296174183;256.6977887775909 +21.5239474554773;-399.497 262.319    ;66.8827   ;v    34.98    ;34.98       ;0.000117    ;34.98       ;     ~   ;5.47     ;4.94     ;     ~   ;     ~   ;F9V                  ; 198 ;   0
89  ;HIP 19343                          * c Per                            ;Be*;04 08 39.6921578 +47 42 45.042937      ;04 08 39.6949554 +47 42 45.029588      ;04 05 01.3116780 +47 34 51.847363      ;153.6542560618 -03.0451023234      ;   21.73 -33.61     ;6.84      ;v     0.8     ;0.8         ;0.000003    ;0.80        ;3.45     ;4.00     ;4.03     ;3.91     ;3.93     ;B3Ve                 ; 379 ;   0
90  ;HIP 23088                          * k Tau                            ;PM*;04 58 09.3920531112 +25 03 01.464917904;04 58 09.3940183552 +25 03 01.448163908;04 55 05.5717985007 +24 58 30.221887822;177.2441681795080 -10.9192567073940; 25.099 -47.413     ;10.1378   ;v    17.30    ;17.30       ;0.000058    ;17.30       ;     ~   ;5.803    ;5.785    ;     ~   ;     ~   ;A0V                  ;  67 ;   0
91  ;HIP 105966                         * 35 Vul                           ;*  ;21 27 40.0577041416 +27 36 30.939965568;21 27 40.0595812289 +27 36 30.959402724;21 25 27.7090934504 +27 23 24.078478557;077.0419805663149 -16.5953570756827;  41.336 20.923     ;16.9162   ;v    -8.0     ;-8.0        ;-0.000027   ;-8.00       ;     ~   ;5.421    ;5.379    ;     ~   ;     ~   ;A1VmA3               ;  64 ;   0
92  ;HIP 45421                          HD 76990                           ;*  ;09 15 21.4269235416 +84 10 51.650499396;09 15 21.4225675291 +84 10 51.630550659;09 05 16.4888169252 +84 23 10.657577001;128.3925449899374 +30.4406573653411;  31.965 14.420     ;10.4755   ;v     7.48    ;7.48        ;0.000025    ;7.48        ;6.680    ;6.600    ;6.280    ;     ~   ;     ~   ;F2III                ;  31 ;   0
93  ;HIP 873                            HD 645                             ;RG*;00 10 42.8341071816 -12 34 47.633650356;00 10 42.8353317887 -12 34 47.625490250;00 08 09.1850237674 -12 51 27.193748120;087.6914872850474 -72.6035580695558;148.266 -38.950     ;13.729    ;v     8.24    ;8.24        ;0.000027    ;8.24        ;     ~   ;6.861    ;5.849    ;     ~   ;     ~   ;K0III                ;  61 ;   0
94  ;HIP 99968                          HD 193092                          ;V* ;20 16 55.2856987776 +40 21 54.273252420;20 16 55.2874334409 +40 21 54.294824340;20 15 08.4417851782 +40 12 33.892296748;077.6669209936622 +02.7635447425204;   2.245 -2.139     ;1.7177    ;v   -20.09    ;-20.09      ;-0.000067   ;-20.09      ;     ~   ;6.871    ;5.236    ;     ~   ;     ~   ;K3IIIaFe-1           ;  76 ;   0
95  ;HIP 95498                          * 4 Vul                            ;PM*;19 25 28.6026797712 +19 47 54.070179072;19 25 28.6041770793 +19 47 54.092026807;19 23 16.8906148948 +19 41 57.052486427;054.3460006543779 +01.7497199694582; 87.690 -73.705     ;12.7495   ;v     0.95    ;0.95        ;0.000003    ;0.95        ;6.95     ;6.14     ;5.16     ;     ~   ;     ~   ;K0III                ;  83 ;   0
96  ;HIP 101101                         * 69 Aql                           ;PM*;20 29 39.0000391008 -02 53 07.901363940;20 29 39.0015494288 -02 53 07.880029030;20 27 02.2211548256 -03 03 11.158537730;041.9660243895587 -23.0981222143241; 70.287 -22.559     ;16.8797   ;v   -22.51    ;-22.51      ;-0.000075   ;-22.51      ;     ~   ;6.065    ;4.900    ;     ~   ;     ~   ;K1/2III              ;  79 ;   0
97  ;HIP 36723                          * del02 CMi                        ;*  ;07 33 11.6657432976 +03 17 25.365062508;07 33 11.6672718310 +03 17 25.343185973;07 30 34.3875227480 +03 23 54.325004130;214.7637925135563 +10.7873043543617; -15.909 42.696     ;23.1488   ;v    -6.20    ;-6.20       ;-0.000021   ;-6.20       ;     ~   ;5.895    ;5.571    ;     ~   ;     ~   ;F1III-IV             ;  64 ;   0
98  ;HIP 110538                         * bet Lac                          ;** ;22 23 33.6237466 +52 13 44.564655      ;22 23 33.6265162 +52 13 44.581090      ;22 21 35.3199200 +51 58 41.059834      ;101.2534923253 -04.3064303825      ; -13.25 -186.77     ;19.19     ;v   -11.42    ;-11.42      ;-0.000038   ;-11.42      ;6.26     ;5.46     ;4.44     ;3.67     ;3.10     ;G9IIIbCa1            ; 152 ;   0
99  ;HIP 48324                          * 23 Leo                           ;*  ;09 51 01.9840280136 +13 03 58.460768316;09 51 01.9853693713 +13 03 58.442454993;09 48 19.7488468863 +13 18 03.265090409;222.1773796668577 +45.6454086514456;  18.752 -7.185     ;3.2253    ;v   -11.50    ;-11.50      ;-0.000038   ;-11.50      ;9.970    ;8.030    ;6.450    ;10.9     ;     ~   ;M0III                ;  44 ;   0
100 ;HIP 54027                          HD 95771                           ;PM*;11 03 14.5404867024 -00 45 08.430102576;11 03 14.5420283061 -00 45 08.443802992;11 00 41.0395035383 -00 28 52.583252576;255.5066589045746 +51.8674625434805;-20.417 -111.785    ;18.8525   ;v     4.50    ;4.50        ;0.000015    ;4.50        ;     ~   ;6.371    ;6.117    ;11.4     ;     ~   ;A8/9IV               ;  32 ;   0
101 ;HIP 85365                          * 47 Oph                           ;SB*;17 26 37.8809423 -05 05 11.749992      ;17 26 37.8825395 -05 05 11.731623      ;17 23 58.5556353 -05 02 38.442888      ;018.2584497000 +16.2703293645      ;  -92.50 -43.29     ;33.25     ;v     0.4     ;0.4         ;0.000001    ;0.40        ;4.90     ;4.93     ;4.54     ;4.16     ;3.95     ;F3V                  ; 156 ;   0
102 ;HIP 19860                          * mu. Tau                          ;*  ;04 15 32.0568707393 +08 53 32.491567629;04 15 32.0585740047 +08 53 32.477705179;04 12 48.9523675805 +08 46 07.096722280;184.2071023567840 -28.8542330492657; 20.881 -22.789     ;6.6651    ;v    16.30    ;16.30       ;0.000054    ;16.30       ;3.74     ;4.205    ;4.279    ;     ~   ;     ~   ;B3IV                 ; 147 ;   0
103 ;HIP 32404                          * 32 Gem                           ;V* ;06 45 54.1991233128 +12 41 36.828178944;06 45 54.2007244426 +12 41 36.806866284;06 43 05.6668463456 +12 44 50.229860213;200.9879555827354 +04.5443738455762;  -0.854 -1.366     ;1.0417    ;v     7.70    ;7.70        ;0.000026    ;7.70        ;7.080    ;6.800    ;6.470    ;     ~   ;     ~   ;A9III                ;  53 ;   0
104 ;HIP 43570                          HD 75811                           ;** ;08 52 24.1817074080 +05 20 25.110948264;08 52 24.1831907454 +05 20 25.090200336;08 49 45.7828914275 +05 31 46.079728392;222.5538309739829 +29.2570850326600;  -2.209 -8.637     ;5.3956    ;v   -10.40    ;-10.40      ;-0.000035   ;-10.40      ;     ~   ;6.456    ;6.350    ;     ~   ;6.21     ;A5V                  ;  39 ;   1
105 ;HIP 116428                         HD 221835                          ;*  ;23 35 32.0719161072 -07 27 51.947585460;23 35 32.0732784113 -07 27 51.936416956;23 32 57.3065401777 -07 44 28.798113094;076.9851304110038 -63.3454247621172;  -0.307 17.008     ;5.9807    ;v     4.7     ;4.7         ;0.000016    ;4.70        ;     ~   ;7.301    ;6.407    ;     ~   ;     ~   ;G6/8III              ;  19 ;   0
106 ;HIP 87624                          V* V951 Sco                        ;a2*;17 53 58.1358478008 -34 49 51.800052684;17 53 58.1378207430 -34 49 51.780399016;17 50 37.8757423997 -34 49 17.806657963;355.8402613147760 -04.5406458862998;   3.907 -5.723     ;3.4718    ;v    -9.50    ;-9.50       ;-0.000032   ;-9.50       ;     ~   ;6.43     ;6.42     ;     ~   ;     ~   ;kB6hA0VHeA0pSiCr     ; 100 ;   0
107 ;HIP 39348                          * 54 Cam                           ;RS*;08 02 35.7833395368 +57 16 25.055079888;08 02 35.7846259628 +57 16 25.033320821;07 58 32.1307609824 +57 24 51.177174593;160.3280002989884 +32.0463282642139;-36.659 -59.364     ;10.0413   ;v    27.51    ;27.51       ;0.000092    ;27.51       ;     ~   ;7.11     ;6.49     ;     ~   ;     ~   ;F9IV+G5IV            ; 171 ;   0
108 ;HIP 4552                           HD 5608                            ;SB*;00 58 14.2189353000 +33 57 03.184089156;00 58 14.2214291544 +33 57 03.187894455;00 55 29.3242676624 +33 40 55.348183384;124.5424519239709 -28.8996009156139; 36.459 -71.320     ;17.0697   ;v   -22.80    ;-22.80      ;-0.000076   ;-22.80      ;     ~   ;6.996    ;5.980    ;     ~   ;     ~   ;K0III                ;  56 ;   1
109 ;HIP 106039                         * b Cap                            ;PM*;21 28 43.4007028168 -21 48 25.847136535;21 28 43.4019590006 -21 48 25.827745882;21 25 52.5227402765 -22 01 33.555457573;027.9705392185528 -43.8673921310633; 134.861 -5.498     ;17.4704   ;v   -20.96    ;-20.96      ;-0.000070   ;-20.96      ;6.00     ;5.40     ;4.50     ;3.83     ;3.37     ;G7IIIbFe-1           ;  73 ;   0
110 ;HIP 62861                          HD 111884                          ;PM*;12 53 04.1646472368 -54 57 08.905750164;12 53 04.1682132451 -54 57 08.910040325;12 50 09.8063926358 -54 40 51.924863760;303.1684032020800 +07.9185246475682;  -97.812 4.437     ;7.4681    ;v    -9.03    ;-9.03       ;-0.000030   ;-9.03       ;     ~   ;7.217    ;5.908    ;     ~   ;     ~   ;K2III                ;  27 ;   0
111 ;HIP 32938                          HD 50445                           ;PM*;06 51 42.4207334784 -36 13 48.979898580;06 51 42.4220443577 -36 13 49.001329969;06 49 56.5596150680 -36 10 05.565517822;246.0616390023513 -15.5844287189738;-40.304 -59.965     ;18.1435   ;v     5.20    ;5.20        ;0.000017    ;5.20        ;     ~   ;6.120    ;5.940    ;     ~   ;     ~   ;A3V                  ;  33 ;   0
